UTTARKASHI  EARTHQUAKE, OCT 20,1991 02:53 IST                      
      91.0011.T station: UTTARKASHI      30 44 N 78 27 E comp: N75E             
 INST.FREQ= 25.50Hz  DAMPING=0.65 Band-Pass FILTER 0.17-0.20 Hz & 25.0-27.0 Hz  
Initial Velocity =     -.6300E-02 m/s Initial Displacement =   -.1480      mm
Peak Acceleration =        3.0400    m/s/s at    5.900  sec
 1996 Acceleration data points (in m/s/s) at .020 sec
-.333E+00 -.663E-01 0.179E+00 0.174E+00 0.122E+00 0.182E+00 0.185E+00 0.461E-01
-.491E-01 0.935E-01 0.296E+00 0.380E+00 0.175E+00 -.766E-01 -.143E+00 -.157E-01
0.176E+00 0.303E+00 0.422E+00 0.325E+00 -.283E-02 -.310E+00 -.284E+00 -.289E+00
-.305E+00 -.165E+00 -.615E-01 -.146E+00 -.290E+00 -.298E+00 -.103E+00 0.196E+00
0.410E+00 0.251E+00 -.373E-01 -.950E-01 0.133E+00 0.261E+00 0.775E-01 -.273E+00
-.539E+00 -.598E+00 -.426E+00 -.783E-01 0.265E+00 0.229E+00 -.205E-02 -.132E+00
-.111E+00 -.566E-01 -.196E+00 -.772E-01 0.213E+00 0.351E+00 0.337E+00 0.204E+00
0.229E-01 -.850E-01 0.700E-01 0.293E+00 0.403E+00 0.248E+00 -.591E-01 -.198E+00
-.213E+00 -.109E+00 -.286E-01 -.739E-01 -.249E+00 -.394E+00 -.286E+00 -.650E-01
0.908E-01 0.357E-03 -.194E+00 -.242E+00 -.283E+00 -.240E+00 -.396E-01 0.159E+00
0.283E+00 0.159E+00 -.209E+00 -.416E+00 -.329E+00 -.619E-01 -.162E-01 -.931E-01
-.946E-01 -.109E+00 -.828E-01 0.145E+00 0.555E+00 0.770E+00 0.459E+00 -.967E-01
-.257E+00 -.153E+00 -.687E-02 0.764E-01 0.167E+00 0.183E+00 0.161E-01 -.490E-01
0.736E-01 0.680E-01 0.150E+00 0.336E+00 0.315E+00 0.105E+00 -.668E-01 -.149E+00
-.238E+00 -.225E+00 -.970E-01 -.102E+00 -.191E+00 -.156E+00 0.577E-01 0.278E+00
0.268E+00 0.328E-01 -.201E+00 -.306E+00 -.280E+00 -.134E+00 0.412E-01 0.141E+00
0.129E+00 0.737E-01 0.552E-01 0.236E-01 -.685E-01 0.323E-01 0.270E+00 0.439E+00
0.508E+00 0.329E+00 -.248E-02 -.237E+00 -.260E+00 -.338E+00 -.377E+00 -.240E+00
-.228E+00 -.332E+00 -.279E+00 -.949E-01 0.913E-01 0.298E+00 0.399E+00 0.410E+00
0.279E+00 0.809E-01 0.358E-01 -.220E-01 -.553E-01 -.901E-01 -.919E-01 -.142E+00
-.166E+00 -.902E-01 -.532E-01 -.158E+00 -.887E-01 0.196E+00 0.342E+00 0.264E+00
0.163E+00 -.162E-01 -.160E+00 -.236E+00 -.114E+00 0.110E+00 0.117E+00 -.495E-01
-.655E-01 0.485E-01 0.167E+00 0.221E+00 0.106E+00 -.500E-01 -.166E+00 -.232E+00
-.159E+00 -.112E+00 -.209E+00 -.319E+00 -.288E+00 -.130E+00 0.117E-01 0.216E-01
0.318E-01 0.156E+00 0.170E+00 0.202E-01 -.167E-01 0.157E+00 0.211E+00 0.210E+00
0.311E+00 0.288E+00 0.179E+00 0.591E-01 -.241E-01 -.152E-01 0.412E-01 -.371E-01
-.150E+00 -.164E+00 -.158E+00 -.192E+00 -.232E+00 -.195E+00 -.172E+00 -.367E-01
0.111E+00 0.147E+00 0.121E+00 0.551E-01 0.502E-01 0.158E+00 0.227E+00 0.154E+00
0.593E-02 -.134E+00 -.261E+00 -.207E+00 -.108E-01 0.974E-01 -.514E-01 -.207E+00
-.193E+00 -.119E+00 -.383E-01 -.372E-01 -.146E+00 -.193E+00 -.120E+00 -.190E-01
0.141E+00 0.286E+00 0.232E+00 0.916E-01 0.731E-01 0.727E-02 0.445E-01 0.202E+00
0.315E+00 0.231E+00 0.505E-01 0.124E-02 0.212E-01 -.858E-01 -.222E+00 -.252E+00
-.232E+00 -.180E+00 -.105E+00 -.181E-01 0.292E-01 -.954E-01 -.138E+00 -.682E-01
-.557E-01 -.181E-01 0.133E+00 0.195E+00 0.113E+00 0.150E+00 0.174E+00 0.944E-01
0.104E+00 0.206E+00 0.174E+00 0.122E-01 -.582E-01 0.471E-01 0.229E-01 -.497E-01
-.660E-01 -.123E+00 -.220E+00 -.227E+00 -.104E+00 0.852E-01 0.252E+00 0.282E+00
0.197E-01 -.243E+00 -.344E+00 -.190E+00 0.101E-01 0.179E+00 0.585E-01 -.131E+00
-.258E+00 -.316E+00 -.204E+00 -.156E-01 0.231E+00 0.264E+00 0.114E-01 -.226E+00
-.283E+00 -.403E-01 0.166E+00 0.286E+00 0.154E+00 -.576E-01 -.126E+00 -.146E+00
-.167E+00 -.938E-01 0.410E-01 0.109E+00 -.192E-01 -.203E+00 -.128E+00 0.132E+00
0.243E+00 0.205E+00 0.290E+00 0.313E+00 0.197E+00 0.106E+00 0.650E-01 0.861E-02
-.889E-01 -.163E+00 -.162E+00 -.166E+00 -.190E+00 -.214E+00 -.246E+00 -.206E+00
-.702E-02 0.194E+00 0.174E+00 -.146E-01 -.998E-01 -.441E-02 0.167E+00 0.270E+00
0.230E+00 0.127E+00 0.170E-01 -.116E+00 -.190E+00 -.155E+00 -.346E-02 0.219E+00
0.254E+00 0.411E-01 -.891E-01 -.605E-01 0.131E-01 0.874E-01 0.112E+00 0.234E-01
-.213E-01 0.983E-01 0.230E+00 0.284E+00 0.135E+00 -.612E-01 -.184E+00 -.177E+00
0.278E-01 0.157E+00 0.173E+00 0.624E-01 -.580E-01 -.414E-01 0.255E-01 0.513E-01
0.296E-01 -.669E-02 -.464E-01 -.718E-01 -.327E-01 -.126E-01 -.275E-01 -.771E-01
-.193E+00 -.253E+00 -.196E+00 -.822E-01 0.979E-01 0.296E+00 0.364E+00 0.272E+00
0.275E-01 -.170E+00 -.206E+00 -.786E-01 0.820E-01 0.574E-01 -.108E-02 0.378E-01
